Tweets,OFF
مافيه ثقه,0
حمدله سلامتك سافله سهله رخيصه,1
رساله السيسي بالزي العسكري السيسي نتحدي التحدي,0
اممممم يسماجتك,1
عيب بلا ادب,1
بايع الكليجا بكره يجيك الاعلام لاهدف ولاثقافه ولاحياء ويحط راعي الكليجا مشاهير السعوديه والقدوه ويبدا صاحب الكليجا القصيمي اللي باب الله يبيع كليجا ينظر لنا ويفصل المجتمع,1
كلب اليهود قطري فاسد واله حندزولك عمالكم توابيت ليبيا ترابها حامي شوف سيدك غضيب الوالدين زوج العاهره موزه يصافح الاسراءيلين وتطبق سياسه الصهاينه مصيرهم اسود,1
تعلم عزيزي شخص يستعمل كلمه فينيقيا للدلاله لبنان حمار معبا ببنطلون,1
تفاهه والقناه تفاهه منهم,1
غصب بتحطينها سعوديه ههههه اقسم بالله اصلها سعودي اجدادها كانو عبيد قبيله سعوديه وبعدها تجنسو واخذو لقب القبيله اشتغلو عندهم وبدل شاده حيلك بدفاع علقتي حركاتها الماسخه تسوين نفسك فاهمه بدين وانتي تدافعين وحده سوت ماسوه الاجانب,1
بتدور هاذي الساع مايقع اومه لاتدخلوش القبيله,0
يععععع شتحس طيب حتي ماتحبيه بتموتين خليتيه يوقع مرييضه والله,1
مهجوره اربع سنه اريد قيودي العاده الشعب يحطم مجاديف الزوج بدون يسمعه اهم شيء كلام الزوجه شوفو التاق اسمه سحر عيون سنابات وكيف المخلوقه نفسيتها وبتعرفو زوجها مدلعها,1
عمايلك السودا اكيد ماقي براسك تعال اكويك عشان تبقي اصلع ونص شعر والناس تشاور وتقول العبيط اهوه,1
اعقل يافقرواي لايجلدونك ناديك,1
سعوديه الاصل المنشا استفهام بعقلي الحكومه ايش تعطي الممرضات السعوديات رواتب اجي الطواري فاردات مكاويهم الكراسي ويقلبوا بجوالاتهم والفلبينيات النحل يلفوا المرضي ماتسمع ضحكهم جاء خويهم وواوو الكيوت ويبداو يتميلحوا ويضحكوا اتفوو,1
الله الفراغه نوره انا امج كنا ندرس بدون شغالات تحملنا مسؤوليه نجيبكم اصور عساني ارضع اوكل,0
بايع الكليجا للاسف هالبنات بدون كرامه حيا تصوير وخقه قدام الله وخلقه تفوو الاشكال وياليته زين,1
عندهم اكسو جمهور كثير العرب,0
انت اطرش حيوان احنا بنصورك الجمله هتفضل معلمه دماغي طول عمري,1
ليه بياخذكم جمااعي,0
معلقه زوجها بيت هاجرها ويقول خذي الاطفال واطلقك واهلها رافضين تجيب اطفالها لان الاب احق فيهم ينصف وهذي العينات كثيرررر بمجتمعنا معلقه بدون حقوق وعباره اصبري علشان الاطفال ولاتعالي لوحدك مهجوره اربع سنه اريد قيودي,1
ايش عيب والله,0
شايفه اشتر بعدين صور,0
ليه الزرف,1
تجمع المراهقين وحثاله المجتمع,1
مليش دعوه انا بيك,0
يلا الشبك,1
يللي بيصير وينقال وينكتب استنتجتي انو اسلوبي انا اللي بذيء بتكوني وحده مهبوله احترامي ههههه,1
انا رحت الغيني قاموسك,0
يخسون ويعقبون بفلوسنا يخدمون وكرامه الم عطي كرامه الماخذ,0
فتنه يعني سوس ونفاق وكذب ههههههههههههههههههههههههههههههههههههههههههههههههههههههههه تحيه لنا الطويلات,0
الشعب السوري الاسرائيلي المايك لاخوان ابليس بالكويت والدول العربيه القتلي شعب المايك لكم,0
ايه شوشتي,0
شكله حساب وهمي ماله تغريدتين ماعليك وكفو خرجت المعركه منتصره,0
قناه تافهه وبرنامج تافه وموضوع تافه خلصت المواضيع المهمه تفيدهم مثلا توظيف العاطلات وحقوقهن وجايبين موضوع ينقص اخلاق وقيم نسائنا لاشافوه الدول الثانيه بيقولون نسائنا حسبي عليكم فشلتونا,1
نسيت تقولو انك جاهل بتعرف كوعك بوعك هبيله انا شايف مين انت اصلا انتبه يفقع بالون حدك وينقزك,1
صحيح تقدرين تشتكين الشرطه وترفيعها للمحكمه بدون ولي امر واضح انكم الخيل شقراء,1
انا داري,0
مكان الطقه ازرق ينعالل,1
الامارتيه متعوده عندنا عادي وضع اطفالنا البرازيليه انفجعت,0
ماعندك تقول ياضعيف قدام المطيري تنزل راسك ياورع انت وغيرك الله يعز الوطن ويعز مطرانه ويخلي مطير مزبان الجلاويه الملك سلمان تخاف وانت ديره مطير وغبن المغبون هههههههههه وسمعني صياحك,1
هيو سيوه قرده حليوه,1
كلب ابن الكلب انتو قتلتو رشيد كرامي,1
بنك الرياض فكونوا منكم حراميه نصابين خلونا نستلم الصندوق التنميه العقاري المبلغ كامل الصندوق ونقدا فوائد جعلكم ماتعينون خير يارب,1
بلكي اصلا تعرف مالها تاثير ياز خايفه الكاتبه تطول بوجودها وتضيفلنا عنصر ازعاج جديد واحنا وصاله حدها عدنا الصراحه,0
بالمناسبه مورينهو مدرب جبان لوكاكو بعلوقيه سمالينج بني ادم راس كلب لينجارد حسبي الله ونعم والوكيل,1
مشافيييح مره يفشلوو,1
عنز الشعيب ماتبي التيس الغريب داليا مبارك,1
اترفع عنك وعن الشارع تربيت بيئتك وانت ابخص,1
الحراميه وانا كنت اثق فيك ماش طلعتي حراميه,1
يعني مسويه تبي تحشرينه,0
الشيلات تلوث سمعي,0
الله يوفقه,1
ونتو رمي صاروخ صدقتوه,0
اشكر علمني اغير الهاشتاقات كميه تفاهات فالهاشتاقات كنت اشوفها واكبر مثال هاشتاق الكليجا,1
الواضح,0
ذئاب بشريه,1
يفك عقوصها,0
وعااده وين جيش النخبه علبه الالوان,0
اهبل مين واطي ابن الهبله انت اتعلم ثقافه الحوار بدل ماجي اعلمها ليك اربيك واطي طويل اللسان فارغ المخ,1
والله ازعجونا ياخي مهو لدرجه,0
شفاحه حريم,1
ايه يبنتي انتي لسه مفركشه سنه لحقتي ترتبطي تاني جرحي بيلم بسرعه ستي انتي مالك,1
وربي روعتني بسم الله الرحمن الرحيم,0
البكاء احيانا العلاج الوحيد للفضفضه,0
الجو يخليك غصب تروقيين,0
كلاب العربيه,1
انا بقيت شكه الناس اللي حوالين مني وحسه بغدر منهم وخايفه اتعامل,0
الرجل تجده خراب اخر يتنقلون مكان تصوير اخر عملاء الامريكان والصهاينه يتعالجون داخل الارض المحتله وتحت حمايه المجرم ناتنياهو قضينا دواعش العراق يبقي المشوار للقضاء المرتزقه جيوش الكاميرات والتمثيل,1
تابعني عشان زياده متابعين وررربي اصلخك سبام اخليك ماتعرف وين تاكل شهالناس,0
الاجانب بدو يسوون اللي طلعو يقولون حنا مره نسمع لاكسو عشان الفولو,1
هههههههههههههههههههههههههههههه الاعتراف بالحق فضيله,0
اووص عني,0
ممل وتافه بدايه ساعات الصباح الاولي,1
مدري ليه اتضايق يعطس قدامي احس بمرض طول,0
كده انت خلاص بقيت حامي حقوق المراه ليه يعم الكلبوبه متكلمتش الشتايم شتموها وانت مغروش صوتهم الفيديو زكمان لبسهم فعلا مخالف لدين والاداب العامه ومفيش بنت ماشيه محترمه ولابسه لبس محترم هيعاكسها كلبوبه ابن كوم شكاير,1
بنشوف بنشوف هالمره الاداب تحييها,0
صدمني حتي سؤاله اللي حاطه الزفت,1
يعم اللي مطلعها اساسا انت نسيت هتتفع يعني هتتفع,0
استفررااغغ,0
نديم دندول قطيش اعلامي لبناني منشوراته وحلقاته تطبيل لبني سعود كول هوا,1
عاااااجل مسلحون مجهولون قليل قعدوا عادي بدهم مشاكل الشباب,0
ابو كرتونه معفن كيس وكيس سكر وازازه زيت معفن,1
الله سئالتك جبران باسيل جرصه العرب,1
دامك حاس الكلمه غلط ضروري تقول هالبيت,0
تقههر مريضه,1
انا اتكتب يوتشون صرت اصدق كلامهم اعترف انسان يستحق الاحترام وقذر,1
قاعده قلبك انت واللي مقويك,1
اسوا انك تضطر تيلس شخص يغن وتتحم صوته الس,1
بايع الكليجا الله يشغلكم ماعندكم شغل افتكينا عيون جبتوا لنا,1
قروبات الشامخ المتصدر الدنيا غبره ودوم ماحبت الزين تفرش حضنها فراش لليح وجهين الخزرجي,0
ترا انا ابيع كليجا بايع الكليجا,0
ادعس الردي اتعدا بغيت الشي جبت طناخ,0
هههههههههههههههههههههههههههههههههههههههه بدوووووووون فضاااايح,0
بايع الكليجا ماشفت زين عادي ذوق خايس وععع,1
والله كيوت,0
عاوزه اروح الجامعه,0
الاتراك والصينيين هالاثنين بالذات ربحتم تضرب بالمخ,0
والله مدري شفت صوره مكتوب متزوج والبنات منهبلات,1
دئما يلحق الدمااار,1
وينج حلو دونج,0
والله الكارثه تواجدك الساحه الرياضيه مشروع لجميع الانديه المشاركه بطوله الملك غيرها تتطور رياضتنا بتواجد امثالك,1
خلاص البنات خققققوا ارتاح وترك عنك البعاااااااع ههههههههههههههههههه فاهم الغمازات غلط انت تشششق وجهك بعااااع,1
كنه نجدي,0
هيدي مقدمه نشره اخبار هيدي مؤخره نشره اخبار اكل,1
يعني هيبقي عريس ناكل جاتوه حتي ظلم,0
كمان البنات يفشلون,0
رساله السيسي بالزي العسكري المهمه حمايه وطن تحيا مصر نصنع سلاحنا بايدينا,0
انت كداب ياخلف ونزلتي,1
وضعك يهبل لعن شيطانك,1
تسلمين ورده,0
بايع الكليجا قبلها ايفانكا ترامب والهنديهبريا غمزه واخرها رؤي الصبان وكل فترههاشتاق غزل ببنت اوجنسيهمعينه ابرر وقاحهالبنات بالمقطع الحياءحل البلاء عادي السوشيل ميديا فلاتستغربوا اللي صاير الله يسترعلينافوق الارض وتحت الارض ويوم العرض,1
اللي معاك الصوره غاب وطنك والاهل والصحاب كام ودع وساب اسباب,0
اكيد قويه,0
وربي غباء خير,1
بتحسها جامعه بنت,1
مؤلم تستيقظ السابعه صباحا نوم جميل لتري وجوه تسد النفس حينها تتاكد فعلا اكل العيش,1
اقول انثبرو وحده تروح عشان رجال,1
عطوني نعااااااااااااااااال بليز وانت نعل هالاثنين,1
وربي انك سلتوح تعرف الكوره,0
ليش التذاكر مره غاليه,0
كلنا حبيناه,0
بايع الكليجا بنت وقفت وسوت زحمه الرجال وصورت وتنحت بوه شوين اسالك الله للحين نقدتي نفسك,0
مانت كسوف اوي بخيل معفن,1
وحده اتصلت البنك تستفسر رصيدها الموظف شنو اخر عمليه قمتي قالت ولاده يقولون الموظف قدم استقالته وجاه,0
المفروض اتلكم افتح نقابي الوضع يهيء,0
يابني انت بتجاهد سبيل العلم تخجل,0
مساكي سعاده قلبي شفتي الخيانه والقذاره المهم الممثل الفاشل عامل برنامج اسمه المخبر قناه اون وعامل البلد وللعلم ينارجي برضو بلاعه الخيانه اللي طفحت بمصر,1
بيضرب جهاز فني بالكامل كلب ومحدش حاجه هتروحوا فين ربنا منافقين ولاد الكلب,1
وااااه لعنههه اللله عليهمم احسبها قفله الحلقه تفووو عليكم افشلكم يارب تفلسون ياارب ماعندكم فني الانتاج,1
لين دحين معلق,0
توتير بااغنيه ماجد المهندس تكفي لاتقسي ارحم بقلبي شوووي اهلكتني الحذف,0
سماحته مامات عنده اسهال شديد وعنده عقوبه ايرانيه وعنده جبران باسيل سماحته يفطس ريحته تملي العالم,1
كلامك لاحكم ارطغرل طارت الوثيقه وانجلد سانجار,0
ناويه تنطردي,0
هههههه بالعكس انا غيب مجتهد الحصار,0
انت حمار عبد الله بتستحمر,1
باقي العيد الكبير سنه وانتم طيبين اهنيك بالعيد الكبير عديه بقي,0
وانت شكوووووو,0
اساسا حاطط المنشن غلط,0
مايسمعون الحجي زفيهم,0
احح اعدمته,1
الله يرحمنا برحمته صلاه الجنازه القادمه انت,0
موتي ساي,0
بالضبط مضطرين يزورون اهلهم بيروحون للترفيه ماعندهم سالفه,0
البت بتحبها وجيت ترتبط بيا انا قلتلي شوفلك كلبه,1
والله ياعلينا هواء قوي ومعه غبار اظنهم يعلقون الدراسه بكره,0
ويلي ويلاه,0
اخلي فحولي اصير لحالك,0
الله يشفيه,0
ايه,0
انتا الحبلين بتتمرقح,1
ويع,0
نفسهم اللي يقولون اغاني قوتسفن متشابهه ونفسهم اللي يقولون لازم مفهوم توايس يتغير يدعمون الفرقتين يهمهم نجاح الفرقتين تعودوا يصيحون اخبار الشركه كرييهين,1
والله بعدي كلن يري الناس بعين طبعه,0
مين موجود الموجود رتيوت ويجي خاص ماتسوي رتويت ماكلمك خاص,0
انت الاسماء ماعرفت تنطقها وجاي تتمسخر البنات الاقل يعرفون ينطقون يعرفون يحللون مااستخفوا دمهم مثلك ومثل وجهك الغثيث اللي يجيب حومه الكبد بعدين استرجل ياللي تحب الكوره يالفله انت,1
بايع الكليجا فشلتونا خروف انتي,1
اجمدي كده اسد يلا ايه,0
اساس اننا بنعدي عالكويت كدا جمعه وفالمواسم ليه محسساني مزار طبيعي واحنا فوتنا الاحتفال,0
تستاهل محد قالك تلبس جزمه,0
الله يعينك بصراحه,0
بتعرفي تقراي قلت حريه شخصيه قله ذوق ووقاحه يعني حدا اجي بده يحاكم هديك الوحده لانها قبلت ترد السلام اقله ينصر دينك اقله يلعن شكلك,1
رايكم,0
الله يلعن تريبل اتش ستيفاني انجل روندا كامله,1
,0
انت لذوذ اوي انا لذوذ سهله رخيصه متاحه,1
مديرا لنادي الضباط بالمملكه سرقات الترليون خزينه الدفاع بكل الوسائل سلطان وتحرير الحرم جهيمان قبلها بفتره بسيطه استعانوا بالفرنسيين والاردنيين والمصرين واستخرجوا فتوي بجواز دخول المسلم للحرم وقت الحاجه وسواعد ابنائها مجرد حراسات بعيد,1
حرام عليكم شهرتو بالولد,0
يحافظ تصدق ماحب اسيرلها وايد ماحب دربها بعييد,0
افضح معنفك والله اعرفه كنت اشاره ورميت قرطاس وجاء قزازه نفسيه راعي فورد جنبي ونزل وعنفني تعنيف الله وكيلكم صرت بعدها اخاف الفوردات والقراطيس,1
السناب الامني العنصري مجتمعكم كله عنصري عبد كويحه طعس طرش سبعه لحجي مخلفات حجاج اله يرحم الملك فيصل حنس وغيرها واضح تجاوزهم بسب عنصري والمضحك ترقيعته صوت معصب سبهان اله اليتم عنصريه لازم يتحاسب,1
بايع الكليجا الله يفشلكم فشلتونا يالمراهقات انا استحيت تصرفات البنات وتعليقاتهم وانا مالي دخل,1
احقر الرجال طاهره تبكي وذهب العاهره يبكي,1
انت عارفه حاشك عني ماشي,0
الحين صدقت اني ليز بايع الكليجا,0
الملك عبدالله الله يغفر,0
ياكرهي للمزح اللي,0
وبعدين انتي مينفعش معاكي كارت انتي لزم لايف تجي تركبيني برحتك لحد مفرهض منك,1
موطن الورد غمازه حبيبي,0
تفله,1
شاء الله انا وصلت ربعها بعدين خلااااص,0
هفكرك,0
غيري صورتك ابو واقعيه,0
الطيور اشكالها يالواطي تقع,1
ابي فلوسك,0
امانه اشتقت تذكرت يقول لسرور القهوه والحلا بنجلس بدايه ودلتهم الورديه,0
ورع دخل الاتحاد بالموضوع كدا حارقكم,1
معرفشاااييي,0
اشعاراتج لاتصلني,0
ريان واخيرا جيت وسالتك خير عملت انك ندمان,0
عبالي,0
هاي غبيه غبيه بتخوت,1
ساعات تفتيش قوات حرس الحدود يعني رايحين نفجر دهب هيعملوا كده,1
ياشينه الشارع,0
انفولو اسلوبك ساير زباله,1
تشوف شاء الله بدون تفاصيل,0
ماحب يطالعني يخوز عينه عني,0
الله يلوع جبدك احنا شذنبنا,1
انزلع مليت منك,0
ريت تاكل خرااااا,1
قضي عمري انا اقول هتعدي,0
وووويع لمزروعي واماراتي خله النثيه,1
ازفت اشي تشوف بنتين بيتمايعو قدامك,1
ايه مضبوط معاق معلمك الملطوش متلك نكش اوتستراد حالات بدور عمقابر وين مقابر نظامك السوري هيك عوني الذمي العما بعرضكن بلا شرف,1
زلمه والله بتسكر تمك بترتاح وبتريح حاجتك تحكي وتبين انك انسان ناقص عقل ورسمالك بيتغير اسلوبك,1
ماضنتي,0
وششششششذا قسم بالله قلللللللله حيااااا شفاحه مقرفه,1
ريت ينفع كليه حظك انتي معندكيش كليه,0
تدري اللي يرفع الضغط بالليل الشبكه تعطيك ارسال كذاااااااب منتصف العمر,0
اومال مين بيكلمك الجروب,1
بايع الكليجا متزوجه وتطرده الله يستر علينا بستره والله دنيا ينخاف,0
يلا ورده مكانها البستان,0
شبعت لحوست سرامي ولك طلال,1
يرشون حاطين اغاني عراقيه التصرف حلو اللي حاطينه حلو مادري احنا متحررين فيتنام ناس تستحي,1
قليله حياء صوتها مستفز,1
مبروك شيخ الجمهوريه الايرانيه الطبل,1
اله يسامحك موستافي ازبل مدافع شافته عيني طار الثالث,1
غغغغلللطططططططط,0
مؤلم كنت اجهل السبب فلا يليق حتي الضرب المشروع اتي عده مراحل ضرب معنوي تعنيف وبشروطه جهل مطبق,0
اقسم بالله انا حاسس الواحد لسه فالاجازه الدراسه لسه مبداتش منزلتش الدروس كلها حتي بروح مدرسه وحاجه قمه الفشل الخرا والله,1
موضه الرجال الله يرحمك ياجدي فاكر السروال عاصمه موريتانيا قولناله ياجدي السروال حاجه بتتلبس البنطلون ساكت ياحبيبي,1
تفو تري مابيخقون انت تقعد تستكوس ياغثيث,1
والله فعليا قفلت معي بكل مكان اشوفه خلاص حلو جميل لؤطه درينا والله,0
انتو ماتحرفون وبس انتو تغنون بالقران,1
اصدقا الوناسه وينهم صديق يفشي كلامك وصديق يطعنك بظهرك وصديق ينقل كلامك اين الاخوه الحقيقه لاتوجد اخوه حقيقه الزمن دايم مظلوم اللي يصفي نيته ماقول شاء الله ربي يخذلهم بجميع خوتهم,0
يارب كنت ثقيل خلني قلبه لين يموت الحيوان,1
يلا خوخه مهزءه دراستك,1
بايع الكليجا اوووفر البنات استحيت وانا مالي دخل يفشل,0
مدري ليه اتضايق يعطس قدامي احس بمرض طول,0
يمه يجلط رايح لندن وماهي عاجبته يقول مافيه يسوي بالله حطوه بربع الخالي بشهر ثمانيه عشان يتعض لندن ماهي حلوه,0
لان لنا واحنا نشرح باقي تبغاني اعيد واكرر شكل علاجكم البلوك تبغا تتثقف انقلع اقوا ماقرينا احنا,1
عاااااد كثييييير كثيييير,0
بحس انو بدك ضبان للسانك لانو اطول منك,1
بالله,0
سعوديات نطلب اسقاط التعدد فين اسقاطو المفروض تقنينو بمعني زوج عندو مايثبت زوجتو ماتخلف قارفه اهلو فحياتو هالاسباب المنطقيه فخليه يعدد جالو بتزوج كبر وحب يجدد شبابو ربنا ياخذو فهنا يرفضو يزوجوه,1
قلتلك مبارح احتياط خراس ادرعي لبنان,1
يقطعه الفتنه,1
موقفه التبادل لحد يبادلني,0
معقوله وصلو المرحله البنات,0
انا دلوقتي,0
بايع الكليجا حتي امه القهر صارت تبيح تحلل يصور وينشر صور ولدها خلاص مصختوها,1
روح شوف سلح بسين صحيح انك حقير وناكر للجميل متل معلمك,1
حلال يحطونه بكبره التانكي ويرجعونه الصحراء,1
روح كول هوا واتمرقد,1
بالله ياقمه الاخلاق انت وكلامك وردك تسميه هزلت وربي,1
الصوره بتقتلني,0
كنا بنكلم طول النهار هاا وبعدين وباليل نتخانق ونكد ونااام,0
كلشي زيننشين,0
بايع الكليجا مشينا نموت يانساء,0
نخشاك ياسفاح الشام بحياه امك تخبرني بشو نتصر اسدك فاتح عيونك بهيم دافع عنو قتل ابنك وخيك وبيك وكل عايلتك باع شرفك بلا شرف اقرفك,1
شكلتس شفتي عيالنا يخقون الهنديه فشلونا الله يفشلهم,1
السيارااااتتت,0
اللقطه الختاميه,0
ردات حظك وانا اختك,0
بالله,0
صدق زمان الدعاره تكامل,1
بتوقيت كوريا عمر هوب خاصتنا جايهوب سنه عالميا سنه كوريا نتمني عيد ميلاد سعيد,0
عيني الشمال شايفه التلفون مستقيم واليمين مايل الوضع,0
كله الشرف البندقه ياهريدي,0
انا بقول نطلع هدوم الصيف الحر,0
حقين الكوره,0
بتلع ارتاح انهلكت ادعمو حسابي ابخش احصله يفتح النفس,0
موبايلي يقع مني فالشارع وابص الشاشه والاقيهااا مجرلهاش حاجه الموبايل الضناا غالي,0
قبلها باسبوع الباطن رانهم بثلاثه بالرياض بكامل نجومهم,0
احنا شاردين الفضائيات العربيه القماميه قصه محتوي يحترم العقل والمنطق وهمجيه طول مايبغالها تفكير علشان لايغثوني ولو خدمه حذف حذفتها,1
ضاءه نافعه واله حفطر انت اكبر ارهابي تصل لحكم ليبيا ونحن احياء كلب الدم مجرم شوفو بنغازي ودرنه دمرهم وجاي يبي يدمر طرابلس اساس الشرق جنه توا بركان الغضب,1
نموذج بدرالشعانبي مطابق للمواصفات والمقاييس السعوديه,0
بالعافيه اخوي الحر هاي الريوق اللي مستحيل اكله,0
ظلام طلعو,0
افف ويع هالخياس والعفن احس صارت ريحه عباتي ريحتها الخايسه,1
ملهاش لازمه الخير بئاا,0
قايل تشتري,0
ميد اللي بعدوو,0
يامحمد انزل البلد بسرعه ارهابيين لقيناهم ولازم تشيلهم الارض شيل بلحه لرئيس الاركان الارهابيين يتشالوا,1
مهجوره اربع سنه اريد قيودي يطالبون بالتغريب وتقليد الغرب والانفساخ الحياء وتعاليم الدين برمي الحجاب والخروج للاماكن العامه والعمل المختلط المقابل يطالبون مستدلين بالشرع بالنفقه الزوجه طيب الغرب الحرمه تصرف بيتها الحين تذكرتو انكم مسلمين,0
ادخل الهاشتاق احسني شاطحه,0
جدهم يسلمونها انا القي والله مايذووقونه,0
وكله بكياسه ولاد الكلب,1
صافي بقر,1
افضح معنفك المتوسط تجبرنا المديره تنظيف المدرسه الفسحه وكل فصل وقلت للمعلمه ليش ماتنظفي معانا وصاحت وجهي وسحبتني للاداره ورفضت المديره تناقشني وانضربت الطابور اغلب تعنيفهم عشاني ارد عليهم عشان تعليم تاسيس للاسف,0
تورغوت مات,0
قحط هون غبي,1
بطلوا كدب بقي,1
الصحه النازل,0
انت شكلك مفتري,1
ياشيخه البنات لمن الذكور خقو روئ وحليصه وبنت تراب وغيرها زعلو وجلسو يسبون ويستشرفون والحين دور الذكور بدون يستشرفون,0
خره بعقلك,1
الدوام النوم ههه,0
ترجم الحلقه ويكلي ايدول بحضور سفنتين لترويجات كومبتا استمتعوا كاراتز,0
بالدنيا احبها,0
مساعد جزار بينفع,0
اويحي طحان رخيس مكاين والو خاوتي تفكرتو برك,1
لان عينه فارغه,1
ذولي بالذات ذبحووني ذبحووونييي شهذا الجمااال نننعععمممم خخخييييررررر,0
الصداع حيله شوي هشم جمجمتي,0
معلمه رياضيات وانا بثاني ابتدائي تقطع ورقه الواجبمن دفتري وتضربني عاساس ماحليته لين شافتها جارتنا بزياره للمدرسهوقالت لاميوامي شرشحتها صرت اكررره الرياضياات وما احفظ الارقام افضح معنفك,0
الناس تحب تصدق كذب تناول خصومها صدقت ياصديقي سمير عطالله الحسد والحقد والغيره والخ والج والجهل وصغر العقل امراض علاج,1
يلعنو ويلعن حاوي بلا خواجا بلا زباله,1
كذاب بعينك صدام صفات كويسه تبقي خيانته وغدره بجيرانه اللي داعموه حربه ايران شيء يغتفر,1
بعزيمه الرجال الدوري للهلال خصم الهلال ووسع صدرك باذن الله نحتفل بالدوري رقم مباراه,0
صايره تكبر تعبتني ريتويت ارد مفضله بلوك تفاعلو سالب سكاكا سالب حايل سالب الجوف سالب عرعر سالب,1
ههههههه فعلا وقت الطلعه كلهم يتعذرون,0
الاروع مرورك تلال باشا,0
بايع الكليجا هالجيل الفاسد ويقولون ليه كثر الطلاق مافي تربيه تري مخزي قاعد يصير,1
اييج يقول مطبلين بيب يستاهل,0
بعصب,0
ترد حضرتك,0
عيب حدا احسن منك عيب انك تخرب صورتو ادام الناس لانك عرفان تصير متلو,0
تخيل اني امشيك كيفي حياتك بكيفي واحط زقي وتروحه تاكله وتدري وتموت ووجهك زقي عمه,1
هقول,0
عساك قبلي شاء الله صلاه الجنازه القادمه انت,1
حنا بحاجه للدورات اللي فايده بحاجه لنرجع تعليم تعبنا جهدنا التدريس الخرابيط والاعمال اللي يكلفونا طاقتنا,0
قذر انسان وصخ,1
حافظ اسد السلاله اذواق هاد كهريس صرف صحي كبينه خرا اذوااق مين امه الله,1
ايه اللي صعب ياعنياا انتي ضحكتك فضحاناا المنطقه,1
تعتبو غبيه,1
الهي لقد ظهر حصان ابيض بجناحين وسيف ورمح ودرع ساذهب اسحق الاعداء شويه رخوم كتحليه للعنصريه والفخر وسعادتك,0
جحش قنصل بلا مؤاخذه,1
يجيك الواحد توه صاحي ويتعطر عطر مركز ياخي انت متاكد عندك رئه الناس,0
يمممه يفشلونن مره قسم بالله نقول حليمه جايه عشان جمهوره الرجل ياححول واضح حايمه كبده اللحجيات اللي عنده,1
بايع الكليجا اين عيب جالس يصير والله للاسف المواضيع التافهه قله الادب صارت كثيره مجتمعنا ماقول الله يهدي الجميع,1
مستقبل وفساد الدول العربيه دوله الرد والعهر وسرقه حضارات الدول الاخري وسرقه جنوب اليمن الاعمار ناطحات سحاب وتحت الارض سجون لحريه الكلمه سجن الرزين علياء عبد النور ومثقفين ومفكرين الخلا,1
صدق انك ماتستحي والدين ماخذه كيفك مين انت عشان تقول حلال وحرام كلهم غلطانين تحبون تساوون الرجال بالمراه ولاتشبهه الرسول صلي الله وسلم فيكم,1
الله يسلمك,0
انا بالتويتر وحده مظلومه اسوي بدايه اقصد الحمار يزعل الثور واسوي بدايه اقصد العنزه تزعل البقره,1
الكليه بنتش كلب اوي يخربيت صيدله اللي عايز يدخلها ساعه واحده انا لسه اعدادي وبيعملوا معايا كده امال هعمل ايه باقي السينين الله يخربيتكوا بيت كليتكوا ساعه واحده ياكشي تولعوا كلكوا ونخلص,1
يعنني لطيف وكيوت,0
هههههههههههههههههههه بطاقته جبتوها لامستحيل الله المستعان بائع الكليجا,0
قسم بالله تلفوني ساعه بايدي دقيتي مارديت لاترديييين تدقين,0
عشم ابليس الجنه انت وياه اشششش كلمه راسكم كاس العالم مجرد انكم تحلمون المنطقه حلم لكم وقط,1
الاهل دول نعمه كبيره اوي ربنا بعرف قيمتها مواقف كتير وبتاكد ايه انا بحبهم ومقدرش اعيش غيرهم فعلا مصدر الامان ليا وابويا واخواتي مصدر قوتي فعلا فالاول مكنتش شايفه كده كبرت فهمت اني ماليش غيرهم اشفي يارب صحتها قادر كريم,0
الله ناس تجري راها الشهره ناس تجري الشهره العالميه تعني اكسو,0
عطله دوامنا دازين لنا رول المحكمه اخيس رايت,0
غيرانه ههههههههههه الله يشفيك يارب ويستر يالله يالساقطه الكلام معك ضايع بلوك لان اخلاقك,1
بدايه السمستر بنقول الكهربيه سهله اسي اكلنا,1
,0
انا عاوزه اطلع السنه كلها,0
جدول اروح لبنات عمتي بلكي اغير ارتب غرفتي,0
العمي تشتوش,1
سكين حاده,0
العيل اللي بيلعب ببنا لنا لعب برا حتك حبيبي بكرا ختك تبقا دريم,0
عبدالعزيز الغيامه الكارثه اكبر عداها تركي الشيخ ترا جدار الباطن مهوبقصير للهدرجه تقلل شانه واتمني اداره الباطن ماتمشيها للاشكال هذي بالتطاول والتقليل نادينا العزيز الباطن,1
حسبي الله,0
اللحظه اللي بتكتشف انو امك بتابعك بالتويتر امي انا مخطوفه,0
اتفق معكم الدين جاء للجنسين ترجع وتقراء زين يالمنيف طبيعه المراء وجبلتها الحياء الحياء ذهبه هيبه وجمال المراء فلا تتفلسف ومسوي انك حافظ مواقف الشباب,1
وكذلك سولفت وكرر يارجال وسع صدرك عساك سالم معناتها تصجني وتلايط ترا موضوعك مايهمني,0
مكان حازم اخذتها,0
بصراحه الشباب منقبين سووا اشنع النظرات ومااعتبروا لشيء اللي يسوونه حليمه بولند وغيرها هذولي البنات وشباب حليمه بولند كلهم قليلن ذوق وهمج وليعترض يعترض حاجه مقززه بصراحه,1
ولاد العرص ارهاب كره القدم يلعن دين فلوسكم,1
طماع,0
مقوله يقبلها عقلي كثره يقال ضدك الاخرين دليل كثره عيوبك والانسان يرتقي بكثره العيوب,0
نظافتك تري اهم الماركات اللي تلبسها,1
تهريتي كثير استغفري ربك,0
